TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
Blessings (feat. Jamila Woods),Chance the Rapper,2016,72,34,71,-8,37,222.000000048,72,61
Same Drugs,Chance the Rapper,2016,180,29,46,-10,53,258.000000048,95,67
Mixtape (feat. Young Thug & Lil Yachty),Chance the Rapper,2016,127,43,84,-6,13,292.999999968,5,58
Angels (feat. Saba),Chance the Rapper,2016,156,65,77,-5,68,206.000000064,29,63
Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,2016,95,40,51,-9,56,220.00000003199997,72,69
All Night (feat. Knox Fortune),Chance the Rapper,2016,112,78,70,-6,39,141.9999999984,4,68
How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,2016,78,48,44,-9,29,337.000000032,48,55
Smoke Break (feat. Future),Chance the Rapper,2016,125,45,71,-8,28,225.999999936,26,64
"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",Chance the Rapper,2016,86,61,46,-6,41,407.000000016,62,59
"Blessings (feat. Ty Dolla $ign, Anderson .Paak, BJ The Chicago Kid, Raury & Jamila Woods)",Chance the Rapper,2016,80,46,38,-8,54,229.99999996800003,89,58
Legend,Drake,2015,100,56,72,-8,30,242.00000006399998,2,67
Energy,Drake,2015,172,57,74,-8,57,182.000000016,33,68
10 Bands,Drake,2015,173,76,84,-4,87,177.999999984,23,63
Know Yourself,Drake,2015,115,41,74,-9,16,276.000000048,19,65
You & The 6,Drake,2015,154,49,56,-7,21,265.000000032,15,55
Jungle,Drake,2015,195,23,51,-9,39,319.999999968,61,67
Faithful,Drake,2016,100,45,53,-11,19,290.000000016,9,57
Still Here,Drake,2016,134,44,84,-10,24,189.999999936,2,62
Controlla,Drake,2016,92,48,55,-11,32,245.000000016,9,72
Grammys,Drake,2016,145,44,71,-10,12,220.00000003199997,0,59
Childs Play,Drake,2016,80,47,74,-11,29,240.99999998399997,1,64
Pop Style,Drake,2016,133,46,72,-10,5,213.000000048,19,62
Too Good,Drake,2016,118,64,82,-8,40,263.000000016,7,72
Fire & Desire,Drake,2016,80,25,71,-14,25,238.000000032,8,65
Views,Drake,2016,80,87,59,-6,7,312.000000048,6,56
Hotline Bling,Drake,2016,135,62,90,-8,55,267.000000048,0,74
Say It,The Geek x Vrv,2014,88,63,66,-6,43,206.99999999999997,0,48
Fabrics,Felly,2014,76,49,81,-7,26,215.000000064,39,3
Drops,Jungle,2014,108,24,70,-14,17,173.999999952,85,53
Overture,Daft Punk,2010,116,7,17,-15,4,148.000000032,88,37
The Grid,Daft Punk,2010,102,50,56,-14,7,96.99999999840001,26,39
The Son of Flynn,Daft Punk,2010,106,78,54,-18,2,94.9999999968,91,45
Recognizer,Daft Punk,2010,104,54,58,-15,8,157.99999996800003,46,38
Armory,Daft Punk,2010,96,5,38,-24,3,123.00000000480003,66,36
Arena,Daft Punk,2010,67,41,31,-14,8,92.99999999519999,1,36
Rinzler,Daft Punk,2010,90,65,50,-15,4,137.9999999952,48,37
The Game Has Changed,Daft Punk,2010,100,50,54,-15,6,204.999999984,43,39
Outlands,Daft Punk,2010,113,44,57,-16,17,162.0,79,37
Adagio For TRON,Daft Punk,2010,59,12,6,-20,4,251.000000064,73,36
Nocturne,Daft Punk,2010,88,5,17,-27,4,101.9999999952,40,35
End of Line,Daft Punk,2010,196,45,37,-11,4,155.999999952,0,40
Derezzed,Daft Punk,2010,120,62,54,-10,10,103.99999999680001,0,45
Fall,Daft Punk,2010,180,63,28,-10,24,83.0000000016,0,36
Solar Sailer,Daft Punk,2010,124,17,18,-23,4,162.0,86,40
Rectifier,Daft Punk,2010,66,19,45,-15,4,134.0000000064,58,34
Disc Wars,Daft Punk,2010,160,48,55,-15,35,251.000000064,43,35
C.L.U.,Daft Punk,2010,87,51,34,-13,6,279.0,34,33
Arrival,Daft Punk,2010,63,13,6,-23,4,119.9999999952,91,32
Flynn Lives,Daft Punk,2010,108,27,44,-14,4,202.000000032,95,35
TRON Legacy (End Titles),Daft Punk,2010,102,82,42,-9,5,198.00000000000003,0,41
Finale,Daft Punk,2010,62,10,8,-15,3,263.000000016,93,31
Fast Lane,Rationale,2015,96,58,76,-6,60,155.000000016,58,44
Home is Where the Hatred Is,Gil Scott-Heron,1971,98,48,70,-14,88,200.000000016,49,0
"Bout a Dolla (feat. Chuck Inglish, Chance the Rapper, Chip tha Ripper & Twista)",The O'My's,2014,90,62,74,-8,56,290.000000016,24,39
Better Give U Up,FKJ,2015,92,71,73,-7,45,256.99999996799994,19,0
Instant Need,FKJ,2013,91,49,77,-8,57,270.0,21,4
Clint Eastwood,Gorillaz,2001,168,69,66,-9,52,341.000000064,2,71
On Melancholy Hill,Gorillaz,2010,120,74,69,-6,58,234.0,0,71
Feel Good Inc.,Gorillaz,2005,139,71,82,-7,77,222.999999984,1,77
No Other Way,Sinead Harnett,2014,91,53,76,-9,50,200.000000016,21,6
So Far to Go Feat. Common & DAngelo,J Dilla,2006,90,56,65,-5,29,337.000000032,1,0
Ride,Twenty One Pilots,2015,75,71,65,-5,57,215.000000064,1,80
Stressed Out,Twenty One Pilots,2015,170,64,73,-6,65,202.000000032,5,80
Summer Breeze,Blunted Beatz,2014,90,59,73,-7,35,182.000000016,0,25
Rebirth of Cool,DJ Cam Quartet,2013,92,53,84,-7,62,299.999999952,6,48
Sangria - (bonus track),REMI,2014,97,75,70,-6,92,198.999999936,50,0
Down On My Luck,Vic Mensa,2014,125,75,69,-8,44,209.00000001600003,37,46
Sonnentanz - Sun Don't Shine,Klangkarussell,2013,120,54,59,-8,17,236.000000016,11,47
To Describe You,Kungs,2015,125,38,88,-12,83,269.00000006399995,28,33
Lost,Tender Games,2014,105,40,78,-10,31,258.000000048,34,0
Sunshine - Muneshine Edit,Muneshine,2015,124,90,77,-6,87,301.99999996799994,0,0
Sharpness,Jamie Woon,2015,98,58,85,-8,67,206.99999999999997,28,9
Crimewave,Crystal Castles,2007,120,66,76,-8,87,265.000000032,24,0
R U Mine?,Arctic Monkeys,2013,97,76,29,-6,62,202.000000032,1,9
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,92,63,69,-6,80,161.000000064,5,8
Do I Wanna Know?,Arctic Monkeys,2013,85,53,55,-8,41,272.000000016,19,16
Always Where I Need To Be,The Kooks,2008,168,96,33,-5,88,162.0,0,55
She Moves In Her Own Way,The Kooks,2006,153,80,41,-5,81,168.999999984,24,68
Bad Habit,The Kooks,2014,123,88,73,-4,84,220.999999968,5,63
Carbonated,Mount Kimbie,2010,135,33,55,-14,79,258.999999984,75,46
Stay,Hans Zimmer,2014,105,5,15,-16,2,411.999999984,1,2
Dust,Hans Zimmer,2014,130,12,17,-23,3,341.000000064,96,1
Wildfire,SBTRKT,2011,140,48,84,-7,34,200.999999952,3,58
My Love,Route 94,2014,120,60,82,-8,73,261.999999936,0,9
The Giver (Reprise),Duke Dumont,2015,123,93,46,-5,64,195.99999998399997,0,42
I Got U,Duke Dumont,2014,121,76,65,-8,45,285.999999984,0,57
Ocean Drive,Duke Dumont,2015,115,72,69,-5,56,206.000000064,1,73
White Iverson,Post Malone,2015,130,52,67,-9,33,254.99999995199997,24,4
Young Blood,The Naked And Famous,2010,105,87,58,-5,36,247.000000032,0,63
Give Life Back to Music,Daft Punk,2013,119,62,79,-11,70,274.999999968,0,60
The Game of Love,Daft Punk,2013,90,50,71,-12,68,321.999999984,83,55
Giorgio by Moroder,Daft Punk,2013,113,68,74,-10,41,544.999999968,7,59
Within,Daft Punk,2013,110,30,70,-14,7,229.000000032,89,55
Instant Crush,Daft Punk,2013,110,59,78,-10,52,337.999999968,4,72
Lose Yourself to Dance,Daft Punk,2013,100,66,83,-8,67,353.999999952,8,69
Touch,Daft Punk,2013,91,41,29,-13,12,499.000000032,48,55
Get Lucky,Daft Punk,2013,116,79,81,-9,86,369.99999993600005,4,70
Beyond,Daft Punk,2013,104,65,72,-11,79,290.000000016,37,53
Motherboard,Daft Punk,2013,103,71,55,-15,28,342.0,51,52
Fragments of Time,Daft Punk,2013,130,51,81,-10,96,279.99999993600005,4,56
Doin' it Right,Daft Punk,2013,178,45,80,-8,19,251.000000064,39,62
Contact,Daft Punk,2013,124,76,40,-8,9,384.000000048,0,53
Slychain,Hermitude,2008,106,84,82,-5,69,278.000000064,21,0
44 Gallons,Hermitude,2008,90,83,76,-5,69,270.0,4,0
New People,Hermitude,2008,73,65,71,-4,77,236.999999952,12,0
The River,Hermitude,2008,150,80,63,-6,36,326.999999952,3,0
Cartridge Kings,Hermitude,2008,100,78,79,-6,37,339.00000004800006,0,0
Exhale,Hermitude,2008,105,69,88,-4,87,269.00000006399995,21,0
Frayed,Hermitude,2008,80,89,57,-6,50,337.000000032,46,0
Vector,Hermitude,2008,98,61,79,-6,75,270.99999993600005,18,0
Your Call,Hermitude,2008,93,51,77,-5,92,234.0,60,0
Stepping Stones,Hermitude,2008,189,84,35,-8,55,308.999999952,64,0
Bloodshot,Hermitude,2008,97,84,79,-8,59,267.000000048,7,0
HyperParadise,Hermitude,2012,130,89,65,-4,80,243.00000000000003,1,0
HyperParadise - Flume Remix,Hermitude,2012,145,83,60,-7,31,267.999999984,5,0
Ukiyo - Bonus Track,Hermitude,2014,90,80,60,-5,67,197.00000006400003,39,0
Searchlight Reprise,Hermitude,2014,143,51,65,-8,22,267.999999984,20,0
The Buzz,Hermitude,2014,141,58,73,-6,49,222.000000048,33,0
Bermuda Bay,Hermitude,2014,160,79,69,-7,56,247.000000032,18,0
To Me,Nick Murphy / Chet Faker,2014,80,34,41,-11,12,315.0,25,16
Blush,Nick Murphy / Chet Faker,2014,182,34,39,-16,14,287.000000064,55,13
Hazey,Glass Animals,2014,90,50,65,-11,40,265.999999968,0,54
Holiest,Glass Animals,2014,132,64,50,-8,43,202.000000032,3,49
Black Mambo,Glass Animals,2014,80,41,68,-11,31,249.00000004800003,29,57
Made To Stray,Mount Kimbie,2013,129,71,84,-5,37,287.000000064,67,46
Before I Move Off,Mount Kimbie,2010,105,64,81,-6,66,249.999999984,57,43
Gooey,Glass Animals,2014,183,37,49,-13,11,288.999999936,74,67
Gold,Nick Murphy / Chet Faker,2014,140,51,62,-9,23,285.000000048,38,30
Talk Is Cheap,Nick Murphy / Chet Faker,2014,140,58,65,-9,46,218.99999995200002,47,27
Say My Name (feat. Zyra),ODESZA,2014,115,75,75,-7,35,263.000000016,0,65
High You Are,What So Not,2013,137,86,69,-6,41,213.000000048,6,60
Hold Me Down,Mansionair,2015,100,41,58,-9,6,359.00000006399995,62,5
Ukiyo,Hermitude,2014,180,58,61,-8,58,227.999999952,27,48
Digital Love,Daft Punk,2001,125,66,64,-8,53,301.000000032,5,60
Aerodynamic,Daft Punk,2001,123,91,62,-7,14,213.000000048,33,56
One More Time,Daft Punk,2001,123,70,61,-9,48,319.999999968,2,71
"Around the World / Harder, Better, Faster, Stronger",Daft Punk,2007,126,79,63,-8,58,342.999999936,0,51
Around the World - Radio Edit [Radio Edit],Daft Punk,2006,121,76,93,-6,86,240.99999998399997,0,50
Souvenir (feat. Hemlock Ernst),Milo,2015,78,49,55,-8,81,225.0,72,0
Warm Thoughts,Flume,2013,168,88,53,-7,61,227.999999952,4,1
Sleepless,Flume,2013,175,69,53,-7,39,209.00000001600003,3,2
Holdin On,Flume,2013,90,44,43,-5,22,153.999999936,17,2
Birthday Card,Marcus Marr,2015,123,84,70,-7,51,465.999999984,6,16
Are You What You Want to Be?,Foster The People,2014,126,82,60,-5,60,270.99999993600005,1,56
I Would Do Anything for You,Foster The People,2011,128,85,60,-6,44,213.999999984,4,58
Waste,Foster The People,2011,126,74,68,-6,85,206.000000064,6,56
Best Friend,Foster The People,2014,114,87,65,-4,80,267.999999984,1,56
Call It What You Want,Foster The People,2011,113,97,64,-4,73,238.99999996800003,5,60
Don't Stop (Color on the Walls),Foster The People,2011,133,95,61,-4,79,175.00000003199997,0,61
Helena Beat,Foster The People,2011,127,88,67,-5,74,276.000000048,1,62
Changing Of The Seasons,Two Door Cinema Club,2013,130,88,54,-4,62,222.999999984,0,6
Undercover Martyn,Two Door Cinema Club,2010,160,86,44,-5,58,168.000000048,0,11
Something Good Can Work,Two Door Cinema Club,2010,120,83,65,-5,68,164.00000001600003,1,12
What You Know,Two Door Cinema Club,2010,139,76,56,-4,81,191.000000016,0,19
Houdini,Foster The People,2011,110,91,63,-4,76,202.000000032,1,66
Jackie and Wilson,Hozier,2014,82,73,56,-4,74,222.999999984,6,12
Cherry Wine - Live,Hozier,2014,82,11,42,-15,23,240.000000048,95,19
Work Song,Hozier,2014,121,36,53,-8,26,229.99999996800003,75,12
1973 - Acoustic,James Blunt,2007,125,38,63,-11,35,209.999999952,88,53
Bonfire Heart,James Blunt,2013,118,82,57,-6,45,238.000000032,18,57
Jazz,Mick Jenkins,2014,125,61,64,-10,30,260.00000006399995,25,3
Barcelona,George Ezra,2014,94,58,63,-9,17,189.0,29,66
Budapest,George Ezra,2014,128,45,71,-8,41,200.999999952,9,75
From Eden,Hozier,2014,109,53,48,-7,41,222.000000048,40,50
Cherry Wine - Live,Hozier,2013,131,8,50,-17,25,240.000000048,96,37
Angel of Small Death and the Codeine Scene,Hozier,2013,188,66,31,-7,30,218.99999995200002,16,46
Someone New,Hozier,2014,184,53,44,-6,60,222.999999984,43,20
From Eden - Live in America,Hozier,2015,153,78,35,-5,53,269.00000006399995,46,32
Baby Blue (feat. Chance the Rapper),Action Bronson,2015,85,49,83,-6,76,279.99999993600005,25,63
What About Us,Flume,2013,80,70,63,-8,39,308.000000016,5,41
This Song Is Not About a Girl,Flume,2013,140,67,73,-7,60,254.00000001600003,14,47
The Trouble With Us,Marcus Marr,2015,121,74,83,-5,84,222.000000048,32,22
Experience,Ludovico Einaudi,2013,92,42,41,-11,4,315.0,93,49
What You Wanted,How To Dress Well,2014,130,51,47,-10,19,328.00000003200006,17,0
Life Round Here,James Blake,2013,145,74,43,-6,27,189.0,69,44
Life Round Here,James Blake,2013,145,66,61,-10,25,216.999999936,41,49
Limit To Your Love,James Blake,2011,140,28,78,-10,4,276.999999984,55,55
No Diggity,Nick Murphy / Chet Faker,2012,110,78,49,-5,41,222.000000048,68,29
Open,Rhye,2013,91,32,55,-11,23,216.999999936,90,60
The Fall,Rhye,2013,105,62,66,-13,78,225.0,38,57
Last Dance,Rhye,2013,90,41,78,-10,74,206.99999999999997,52,48
Verse,Rhye,2013,130,27,66,-12,35,171.999999936,89,44
Shed Some Blood,Rhye,2013,102,42,79,-12,67,200.999999952,79,40
3 Days,Rhye,2013,115,47,85,-11,64,256.000000032,83,54
One Of Those Summer Days,Rhye,2013,83,25,18,-12,12,272.999999952,92,39
Major Minor Love,Rhye,2013,118,31,55,-13,12,236.000000016,83,39
Hunger,Rhye,2013,107,77,74,-10,95,209.999999952,44,44
Woman,Rhye,2013,108,30,44,-14,5,159.999999984,92,39
1998,Nick Murphy / Chet Faker,2015,100,46,76,-12,73,224.000000064,13,19
Gold (Flume Re-Work),Nick Murphy / Chet Faker,2014,140,44,33,-7,9,267.000000048,33,16
Drop the Game,Flume,2013,79,67,56,-5,44,222.000000048,59,62
True - Radio Mix,Nora En Pure,2014,122,91,73,-4,52,186.00000004799998,1,38
U Got My Body - Radio Mix,Nora En Pure,2015,122,81,74,-5,41,215.000000064,11,43
Uruguay - EDX Radio Mix,Nora En Pure,2015,122,77,79,-6,33,209.00000001600003,4,41
Come with Me - Radio Mix,Nora En Pure,2014,120,76,68,-7,28,173.999999952,0,47
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,2004,95,83,73,-7,83,173.000000016,33,55
Retrograde,James Blake,2013,77,25,29,-11,19,224.000000064,87,63
Firefly,Mura Masa,2015,110,45,79,-9,46,227.999999952,42,5
On My Way,Reo Cragun,2017,130,46,65,-9,35,202.999999968,50,50
Say A',A Boogie Wit da Hoodie,2017,161,81,83,-5,85,215.000000064,39,0
Crisis (feat. 21 Savage),Rich Brian,2017,145,67,90,-6,67,216.0,7,31
Afraid of Us,Jonwayne,2017,82,82,68,-6,48,445.000000032,69,42
These Words Are Everything,Jonwayne,2017,80,58,60,-6,51,312.000000048,77,44
Ric Flair Drip (& Metro Boomin),Offset,2017,100,43,88,-8,33,173.000000016,15,80
Big Fish,Vince Staples,2017,100,55,90,-6,76,198.00000000000003,48,62
745,Vince Staples,2017,119,48,79,-10,22,227.999999952,12,57
Blakkst Skn,Rejjie Snow,2015,130,78,89,-5,39,211.00000003199997,4,35
Crooked Cops (feat. Tish Hyman),Rejjie Snow,2017,137,76,66,-5,49,227.999999952,4,25
Flexin' (feat. Ebenezer),Rejjie Snow,2017,139,67,81,-5,24,229.000000032,0,27
Virgo (feat. Pell),Rejjie Snow,2017,142,68,89,-4,76,213.000000048,14,27
Désolé,Rejjie Snow,2018,83,57,64,-7,25,234.0,13,18
Egyptian Luvr (feat. Aminé and Dana Williams),Rejjie Snow,2018,105,59,83,-8,90,256.99999996799994,6,43
What's the Use?,Mac Miller,2018,105,49,76,-10,56,288.999999936,74,68
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018,80,57,85,-8,29,204.999999984,6,80
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,2018,127,49,87,-7,59,225.0,30,58
Don’t Matter To Me (with Michael Jackson),Drake,2018,103,32,83,-12,14,245.99999995199997,49,74
Summertime Magic,Childish Gambino,2018,100,58,76,-7,13,213.999999984,1,73
OTW,Khalid,2018,73,68,65,-6,28,263.000000016,18,78
Adore,I:Cube,1999,111,91,60,-8,36,422.00000006399995,7,34
Am I Wrong - Original Version,Étienne de Crécy,2012,125,85,53,-4,43,231.99999998399997,9,36
Around the World,Daft Punk,1997,121,80,96,-5,84,429.999999984,0,67
Baby I'm Yours - feat. Irfane,Breakbot,2012,118,79,83,-4,76,216.0,73,70
Breathe,Télépopmusik,2001,114,65,69,-14,57,296.000000064,42,14
Cassius 1999 (Radio Edit),Cassius,1999,127,81,82,-9,77,222.000000048,0,49
The Child,Alex Gopher,1999,108,87,87,-6,71,274.999999968,7,43
Chrystal City,Alan Braxe,2004,124,96,70,-9,85,242.00000006399998,18,38
D.A.N.C.E,Justice,2007,113,96,61,-5,50,242.00000006399998,3,66
Diamond Veins (feat. Sarah Rebecca),French 79,2016,100,54,50,-10,9,240.000000048,0,53
DVNO (Radio Edit),Justice,2008,124,95,61,-3,63,191.999999952,1,33
Embody,Sebastian,2011,104,83,34,-3,71,225.999999936,24,44
Feeling for You,Cassius,1999,133,77,83,-10,73,278.000000064,0,51
Flat Beat - Radio Edit,Mr. Oizo,1999,129,44,93,-11,59,236.999999952,0,43
Gym tonic - Original,Bob Sinclar,1998,130,64,79,-4,37,371.99999995199994,1,41
I <3 U SO,Cassius,2011,189,80,13,-6,14,222.000000048,1,4
If I Ever Feel Better,Phoenix,2000,120,51,78,-10,81,222.999999984,8,39
In Love With You,The Paradise,2003,121,90,43,-6,12,254.00000001600003,0,42
In Your Arms (We Gonna Make It),Benjamin Diamond,2000,126,70,78,-8,82,261.0,0,39
Intro,Alan Braxe,2000,124,85,86,-6,61,294.999999984,3,48
La Mouche (DJ Falcon Metal Mix),Cassius,1999,131,90,76,-5,40,537.999999984,0,40
La ritournelle,Sébastien Tellier,2004,103,72,56,-11,53,454.000000032,0,53
Lady - Hear Me Tonight,Modjo,2001,126,81,72,-6,87,306.999999936,1,64
Look,Sébastien Tellier,2008,90,39,91,-8,82,274.000000032,55,2
Lucky Star,Superfunk,2000,126,68,78,-7,90,296.000000064,5,46
The Man With The Red Face - Video Edit,Laurent Garnier,2000,132,73,69,-11,44,551.0000000160001,2,46
Midnight City,M83,2011,105,73,51,-5,27,243.999999936,2,70
Mothership Reconnection (feat.Parliament/Funkadelic) - (Daft Punk Remix),Scott Grooves,2006,126,83,85,-5,78,240.99999998399997,9,41
Music Sounds Better With You - Radio Edit,Stardust,1998,124,66,73,-7,36,261.0,0,54
Musique,Daft Punk,1995,117,89,82,-7,83,413.99999999999994,0,47
In My Life - Remastered 2009,The Beatles,1965,103,44,69,-11,44,146.000000016,45,70
Help! - Remastered 2009,The Beatles,1965,95,73,53,-8,76,139.99999999680003,19,70
I Me Mine - Remastered 2009,The Beatles,1970,185,64,29,-8,53,146.000000016,18,49
Let It Be - Remastered 2009,The Beatles,1970,143,40,44,-8,41,243.00000000000003,63,77
Here Comes The Sun - Remastered 2009,The Beatles,1969,129,54,56,-10,39,186.00000004799998,3,80
Twist And Shout - Remastered 2009,The Beatles,1963,125,85,48,-9,94,155.000000016,64,73
Hey Jude - Remastered 2015,The Beatles,2000,147,61,39,-8,53,425.999999952,1,77
While My Guitar Gently Weeps - Remastered 2009,The Beatles,1968,115,65,45,-9,70,285.000000048,2,65
San Francisco (Be Sure to Wear Flowers In Your Hair),Scott McKenzie,2001,113,51,57,-10,65,179.000000064,43,43
Everybody's Talkin' - 1989 Remastered,Harry Nilsson,2001,125,54,51,-9,66,162.0,22,36
All Along the Watchtower,Jimi Hendrix,1968,113,81,44,-6,56,240.99999998399997,0,74
Imagine - Remastered,John Lennon,1971,76,26,55,-12,17,188.000000064,91,75
Oh! Darling - Remastered 2009,The Beatles,1969,174,66,42,-8,55,206.99999999999997,1,64
Love Me Do - Mono / Remastered,The Beatles,2000,148,88,52,-4,76,139.99999999680003,40,57
I've Got A Feeling - Remastered 2009,The Beatles,1970,165,61,44,-9,36,218.00000001600003,7,51
Rocky Raccoon - Remastered 2009,The Beatles,1968,79,36,60,-12,65,213.000000048,33,55
Computer Love - 2009 Remaster,Kraftwerk,1981,125,62,71,-11,52,438.99999998399994,80,42
Rebel Rebel - 2016 Remaster,David Bowie,1974,126,69,64,-16,46,274.999999968,21,71
Under Pressure - Remastered,Queen,1982,114,71,67,-8,51,247.999999968,44,72
Space Oddity - 2015 Remaster,David Bowie,1969,140,44,30,-13,43,319.000000032,7,69
Can't Buy Me Love - Remastered 2015,The Beatles,2000,172,76,43,-4,96,130.9999999968,12,56
Lean on Me,Bill Withers,1972,75,22,62,-14,42,258.999999984,78,67
Africa,Toto,1982,93,37,67,-18,73,296.000000064,26,82
Rock & Roll Part 2,Gary Glitter,1984,129,31,71,-11,40,193.000000032,0,1
Hey Bulldog - Remastered 2009,The Beatles,1969,100,62,59,-9,95,191.000000016,2,49
All You Need Is Love - Remastered 2009,The Beatles,1969,103,46,40,-8,63,231.00000004799998,35,42
Pepperland - Remastered 2009,George Martin,1969,113,28,35,-12,37,141.00000000480003,66,36
Night Patrol,Lifelike,2013,120,92,68,-4,69,470.000000016,11,42
Nightcall,Kavinsky,2010,91,86,54,-5,45,258.000000048,1,65
One out of Two (feat. Irfane) - Oliver Remix,Breakbot,2012,118,79,75,-5,92,258.000000048,2,2
Peace and tranquility to earth,Roudoudou,1998,98,63,70,-7,17,254.00000001600003,1,49
Pocket Piano,DJ Mehdi,2008,118,81,59,-7,43,272.999999952,5,2
Poison Lips,Vitalic,2009,126,92,63,-5,50,234.0,0,52
Polocaust,Mr Oizo & Gaspard Augé,2010,108,23,37,-14,4,184.99999996800003,79,29
Prix choc,Étienne de Crécy,1998,128,92,75,-11,79,531.999999936,23,43
Sacré français,Dimitri From Paris,2014,190,88,69,-8,47,294.00000004800006,2,39
See Me Now,Cassius,2006,105,78,82,-8,77,231.99999998399997,0,33
Sexy Boy,Air,1998,112,65,44,-6,21,297.999999936,0,56
Signatune - Thomas Bangalter Edit,DJ Mehdi,2007,123,73,48,-10,19,218.99999995200002,0,3
The Sound of Violence,Cassius,2002,120,85,71,-6,62,432.99999993600005,0,42
Starlight (Radio Edit),The Supermen Lovers,2001,127,68,74,-5,79,234.0,0,60
Sunchild,Cassius,2013,123,59,47,-9,22,328.00000003200006,4,32
Toop Toop,Cassius,2006,132,84,77,-5,92,166.999999968,9,51
You Are My High,Demon,1999,121,93,64,-5,24,229.000000032,0,47
0 To 100 / The Catch Up,Drake,2013,89,71,71,-4,50,274.999999968,76,69
1-800-273-8255,Logic,2017,100,57,62,-8,35,249.999999984,57,79
2100 (feat. BOOTS),Run The Jewels,2016,98,80,68,-6,10,240.99999998399997,3,42
3005,Childish Gambino,2013,166,46,47,-6,62,234.0,15,20
A.D.H.D,Kendrick Lamar,2011,158,80,61,-7,58,216.0,33,67
Above The Clouds - Feat. Inspectah Deck,Gang Starr,1998,172,95,49,-3,62,222.000000048,37,1
"Accordian (feat. M.e.d. Aka Medaphor, Lord Quas, WildChild, Viktor Vaughn & Stacy Epps)",Madvillain,2004,97,64,57,-6,71,117.9999999936,3,0
Ain't Gon' Stop,Sol,2016,95,62,89,-4,78,216.0,22,43
All Caps,Madvillain,2014,86,90,45,-8,61,130.00000000319997,26,0
All Caps,Madvillain,2004,83,89,36,-8,64,130.00000000319997,26,0
All Eyez On Me,2Pac,1996,93,72,87,-6,86,308.000000016,3,73
All Of The Lights (Interlude),Kanye West,2010,111,8,30,-17,50,62.0000000064,90,56
All Quiet on the West Side,Injury Reserve,2016,122,63,67,-9,29,159.999999984,24,38
All This Money,Injury Reserve,2016,184,65,69,-5,50,198.00000000000003,10,46
Amnesia,Freddie Gibbs,2017,152,67,71,-6,31,198.999999936,3,45
Apparently,J. Cole,2014,134,54,80,-9,53,292.999999968,56,66
Are You Around,Michael Christmas,2015,89,70,86,-7,91,202.000000032,48,26
The Art of Peer Pressure,Kendrick Lamar,2012,95,61,56,-9,41,324.99999993600005,29,54
Award Tour,A Tribe Called Quest,1993,97,60,81,-9,56,225.999999936,0,61
Backseat Freestyle,Kendrick Lamar,2012,78,65,55,-8,65,213.000000048,0,64
Big Poppa,The Notorious B.I.G.,1994,84,58,78,-7,76,252.99999993600002,43,72
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,2012,134,70,59,-9,10,310.999999968,2,62
Bonita Applebum - includes 'Can I Kick It' Intro,A Tribe Called Quest,1990,92,70,85,-5,65,229.99999996800003,9,48
Broad Shoulders (feat. Chance the Rapper),Taylor Bennett,2015,128,52,60,-9,45,227.000000016,82,52
C.R.E.A.M.,Wu-Tang Clan,1993,181,55,48,-11,58,251.99999999999997,57,71
California Love - Original Version,2Pac,2007,92,85,76,-3,77,283.999999968,3,64
Call Ticketron,Run The Jewels,2016,120,66,83,-10,52,198.999999936,11,50
Can I Kick It?,A Tribe Called Quest,1990,97,67,85,-7,74,251.99999999999997,17,68
Can I Kick It? - J. Cole Remix,A Tribe Called Quest,1990,97,42,90,-6,51,168.999999984,43,43
Can't Get Enough,J. Cole,2011,132,62,77,-7,59,225.999999936,14,5
Can't Tell Me Nothing,Kanye West,2007,80,61,59,-6,10,272.000000016,1,30
Canal St.,A$AP Rocky,2015,137,58,70,-9,52,227.000000016,31,64
Classic Man - Remix,Jidenna,2015,94,66,85,-5,64,234.999999936,12,51
CoCo,O.T. Genasis,2014,120,63,89,-6,18,240.000000048,0,62
Collard Greens,ScHoolboy Q,2014,154,57,83,-5,65,299.999999952,3,69
Confess,Logic,2017,123,97,74,-3,53,342.999999936,30,52
Congratulations,Post Malone,2016,123,80,63,-4,49,220.00000003199997,22,82
Cut It (feat. Young Dolph),O.T. Genasis,2015,130,67,88,-4,23,222.999999984,14,61
D.R.U.G.S.,Ab-Soul,2016,132,45,72,-11,42,357.000000048,22,51
Days Passed Me By,Kooley High,2011,78,52,69,-8,57,184.99999996800003,33,0
Dear Mama,2Pac,1995,84,54,77,-7,31,279.99999993600005,38,67
Devil In A New Dress,Kanye West,2010,80,76,43,-5,21,351.999999936,2,63
Down (feat. Joi),Run The Jewels,2016,74,59,59,-8,16,209.999999952,30,46
Electric Body,A$AP Rocky,2015,120,60,90,-7,53,254.99999995199997,49,61
Electric Relaxation,A Tribe Called Quest,1999,98,53,87,-9,84,225.999999936,18,63
