#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
114,Désolé,Rejjie Snow,43147,83,57,64,-7,25,0.1625,13,37,3140
115,The Rain,Rejjie Snow,43147,134,43,78,-7,28,0.1673611111,18,39,408
116,Skateboard P Intermission,Rejjie Snow,43147,76,67,74,-11,95,0.03055555556,15,21,8909
117,LMFAO,Rejjie Snow,43147,120,70,90,-6,88,0.14375,11,30,5943
118,Bye Polar,Rejjie Snow,43147,117,52,65,-8,61,0.1319444444,8,35,7099
119,Charlie Brown,Rejjie Snow,43147,99,67,67,-6,71,0.1534722222,22,37,5342
120,Annie,Rejjie Snow,43147,124,60,95,-5,45,0.1694444444,0,27,6467
121,Greatness,Rejjie Snow,43147,157,67,60,-9,13,0.1840277778,11,28,7412
122,BOOGIE,BROCKHAMPTON,43084,110,93,60,-3,28,0.1340277778,1,61,1099
123,ZIPPER,BROCKHAMPTON,43084,114,68,84,-4,69,0.1402777778,25,61,3561
124,JOHNNY,BROCKHAMPTON,43084,80,86,61,-5,87,0.175,44,54,3953
125,LIQUID,BROCKHAMPTON,43084,140,63,64,-6,53,0.05694444444,42,48,2826
126,CINEMA 1,BROCKHAMPTON,43084,82,26,50,-17,32,0.03194444444,94,43,1498
127,STUPID,BROCKHAMPTON,43084,70,49,77,-6,60,0.1506944444,12,52,3425
128,BLEACH,BROCKHAMPTON,43084,156,66,60,-6,72,0.1895833333,46,70,5096
129,ALASKA,BROCKHAMPTON,43084,75,60,72,-7,41,0.1381944444,12,51,7522
130,HOTTIE,BROCKHAMPTON,43084,129,71,86,-6,77,0.1368055556,16,57,2984
131,CINEMA 2,BROCKHAMPTON,43084,103,37,42,-17,71,0.02708333333,80,42,5604
132,SISTER/NATION,BROCKHAMPTON,43084,150,69,38,-7,51,0.2534722222,9,52,479
133,RENTAL,BROCKHAMPTON,43084,82,45,67,-8,51,0.1486111111,19,63,8775
134,STAINS,BROCKHAMPTON,43084,113,66,64,-7,65,0.1243055556,47,51,5961
135,CINEMA 3,BROCKHAMPTON,43084,121,34,36,-17,39,0.03541666667,91,41,296
136,TEAM,BROCKHAMPTON,43084,140,73,31,-7,27,0.1902777778,40,51,5677
137,Sunset,The xx,41162,120,18,84,-16,37,0.1520833333,56,53,7672
138,Crystalised,The xx,40041,123,49,77,-12,42,0.1402777778,82,63,7621
139,Plastic 100°C,Sampha,42769,132,36,60,-12,18,0.2194444444,74,54,8624
140,Blood on Me,Sampha,42769,104,52,78,-8,61,0.1715277778,12,52,23
141,Kora Sings,Sampha,42769,136,70,69,-9,78,0.1791666667,31,43,808
142,(No One Knows Me) Like the Piano,Sampha,42769,129,20,62,-14,18,0.1513888889,98,60,9036
143,Take Me Inside,Sampha,42769,78,30,30,-11,29,0.09652777778,85,41,7015
144,Under,Sampha,42769,115,53,75,-9,46,0.1958333333,15,43,2428
145,Incomplete Kisses,Sampha,42769,127,42,65,-12,27,0.1625,47,53,5321
146,What Shouldn't I Be?,Sampha,42769,86,15,35,-17,40,0.1479166667,92,42,2882
147,Reverse Faults,Sampha,42769,128,43,68,-11,42,0.1756944444,39,46,4745
148,Intro,The xx,40041,100,79,61,-9,16,0.08888888889,46,70,9708
149,No Diggity,Nick Murphy / Chet Faker,40977,80,51,67,-12,50,0.15625,59,56,6935
150,Where We Go,Jelani Aryeh,43000,77,69,55,-5,14,0.19375,0,46,7895
151,Make Love,Daft Punk,38412,133,55,70,-9,98,0.2013888889,78,44,1834
152,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,42818,130,61,73,-8,45,0.1229166667,13,70,8676
153,BLOOD.,Kendrick Lamar,42839,157,24,36,-17,49,0.08194444444,14,58,7781
154,YAH.,Kendrick Lamar,42839,70,70,67,-8,65,0.1111111111,58,62,256
155,ELEMENT.,Kendrick Lamar,42839,190,71,75,-5,48,0.1451388889,20,70,4923
156,FEEL.,Kendrick Lamar,42839,110,80,75,-8,55,0.1493055556,14,61,6753
157,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,42839,111,54,66,-9,42,0.1576388889,3,71,9627
158,PRIDE.,Kendrick Lamar,42839,139,54,67,-7,37,0.1909722222,8,63,7370
159,LUST.,Kendrick Lamar,42839,94,56,68,-9,57,0.2138888889,19,62,4929
160,LOVE. FEAT. ZACARI.,Kendrick Lamar,42839,126,59,80,-7,78,0.1479166667,26,76,7226
161,XXX. FEAT. U2.,Kendrick Lamar,42839,170,62,57,-7,29,0.1763888889,14,64,2523
162,FEAR.,Kendrick Lamar,42839,150,48,59,-7,43,0.3201388889,60,62,9018
163,GOD.,Kendrick Lamar,42839,133,56,71,-6,21,0.1729166667,3,61,3185
164,DUCKWORTH.,Kendrick Lamar,42839,175,73,55,-7,63,0.1729166667,5,62,865
165,Timmy's Prayer,Sampha,42769,139,56,45,-10,22,0.1833333333,45,45,3727
166,Hold On,SBTRKT,40721,132,39,77,-12,44,0.14375,23,55,3006
167,Edition,Rex Orange County,42990,141,33,86,-10,26,0.07986111111,81,64,8695
168,Baby Blue,King Krule,41510,102,33,47,-11,9,0.15,61,52,1905
169,Provider,Frank Ocean,42974,140,33,65,-12,39,0.16875,74,65,5626
170,Border Line,King Krule,41510,100,55,64,-8,35,0.1291666667,52,48,7441
171,Out Getting Ribs,King Krule,41510,117,40,51,-10,9,0.1777777778,62,45,1340
172,Biking,Frank Ocean,42835,148,46,67,-7,27,0.1930555556,68,66,3005
173,Red Bottom Sky,Yung Lean,42979,120,40,69,-9,33,0.2104166667,73,37,2211
174,GUMMY,BROCKHAMPTON,42972,80,67,69,-6,79,0.18125,20,63,5258
175,QUEER,BROCKHAMPTON,42972,82,63,77,-7,68,0.1583333333,15,57,8063
176,JELLO,BROCKHAMPTON,42972,140,57,92,-7,64,0.1666666667,62,53,3014
177,TEETH,BROCKHAMPTON,42972,79,55,43,-8,50,0.05555555556,80,48,6564
178,SWAMP,BROCKHAMPTON,42972,141,66,69,-6,40,0.175,2,53,7015
179,SCENE,BROCKHAMPTON,42972,146,31,43,-21,86,0.02777777778,94,42,8408
180,TOKYO,BROCKHAMPTON,42972,140,63,63,-6,54,0.1333333333,6,58,978
181,JESUS,BROCKHAMPTON,42972,102,37,61,-9,35,0.05555555556,72,47,9092
182,CHICK,BROCKHAMPTON,42972,150,71,46,-5,59,0.1416666667,35,47,403
183,JUNKY,BROCKHAMPTON,42972,82,66,64,-5,68,0.1729166667,32,55,6121
184,SCENE 2,BROCKHAMPTON,42972,84,42,41,-21,96,0.02083333333,89,5,365
185,FIGHT,BROCKHAMPTON,42972,90,70,66,-7,17,0.1256944444,32,48,7912
186,SWEET,BROCKHAMPTON,42972,92,63,72,-6,72,0.1902777778,54,67,5475
187,GAMBA,BROCKHAMPTON,42972,95,51,65,-8,30,0.1402777778,31,51,8429
188,SUNNY,BROCKHAMPTON,42972,80,66,50,-5,43,0.11875,87,48,4020
189,SUMMER,BROCKHAMPTON,42972,80,55,50,-6,54,0.1423611111,85,60,3905
190,Islander,Wiki,42972,115,71,61,-7,91,0.08125,76,28,2836
191,Mayor,Wiki,42972,95,91,70,-5,69,0.1486111111,37,31,6095
192,Pretty Bull,Wiki,42972,88,82,68,-5,64,0.1444444444,44,25,9616
193,Why iii Love The Moon.,Phony Ppl,42017,92,48,71,-8,66,0.2305555556,55,62,7459
194,HEAT,BROCKHAMPTON,42895,78,74,69,-6,41,0.1888888889,9,54,7594
195,GOLD,BROCKHAMPTON,42895,110,65,81,-7,29,0.1847222222,7,66,4361
196,STAR,BROCKHAMPTON,42895,75,39,78,-9,29,0.1118055556,15,59,5535
197,BOYS,BROCKHAMPTON,42895,145,52,80,-9,85,0.1930555556,25,49,9236
198,2PAC,BROCKHAMPTON,42895,78,51,71,-9,71,0.04305555556,50,44,6399
199,SKIT 1,BROCKHAMPTON,42895,129,56,39,-22,36,0.01319444444,88,1,7771
200,FAKE,BROCKHAMPTON,42895,126,44,70,-10,65,0.1916666667,1,52,2466
201,BANK,BROCKHAMPTON,42895,80,66,64,-11,41,0.1361111111,9,45,6190
202,SKIT 2,BROCKHAMPTON,42895,156,41,31,-25,18,0.01111111111,87,0,61
203,TRIP,BROCKHAMPTON,42895,76,31,78,-13,63,0.1409722222,22,47,3889
204,SWIM,BROCKHAMPTON,42895,93,49,66,-9,50,0.1479166667,15,47,1860
205,BUMP,BROCKHAMPTON,42895,148,70,63,-11,38,0.1097222222,6,47,8115
206,CASH,BROCKHAMPTON,42895,75,80,61,-9,40,0.1354166667,18,45,8343
207,SKIT 3,BROCKHAMPTON,42895,115,20,66,-26,83,0.02708333333,77,38,5381
208,MILK,BROCKHAMPTON,42895,75,45,59,-9,28,0.2048611111,4,51,8509
209,FACE,BROCKHAMPTON,42895,120,70,95,-5,68,0.1798611111,59,66,6272
210,WASTE,BROCKHAMPTON,42895,117,41,42,-11,41,0.1069444444,51,57,6399
211,See You Again,"Tyler, The Creator",42937,79,56,56,-9,62,0.125,37,75,1944
212,Who Dat Boy,"Tyler, The Creator",42937,115,49,71,-10,14,0.1423611111,34,69,9433
213,911 / Mr. Lonely,"Tyler, The Creator",42937,90,61,48,-7,30,0.1777777778,5,70,7356
214,D.R.U.G.S.,Rejjie Snow,42634,92,73,72,-6,63,0.1395833333,20,34,7379
215,Love$ick (feat. A$AP Rocky),Mura Masa,42930,89,76,67,-5,76,0.1333333333,14,8,9357
216,TOGETHER (feat. AlunaGeorge & GoldLink),KAYTRANADA,42496,112,69,83,-8,81,0.1368055556,2,36,7913
217,The Bird,Anderson .Paak,42384,149,65,49,-7,60,0.1513888889,8,55,7001
218,YOU'RE THE ONE (feat. Syd),KAYTRANADA,42496,118,39,82,-10,24,0.1583333333,3,43,3284
219,GOT IT GOOD (feat. Craig David),KAYTRANADA,42496,80,50,64,-7,31,0.1583333333,5,40,3649
220,In Bloom,Shook,41962,125,61,83,-10,66,0.1798611111,1,20,3802
221,Ttktv,Injury Reserve,42206,159,45,63,-9,7,0.2791666667,81,52,9444
222,LAND OF THE FREE,Joey Bada$$,42832,95,65,73,-6,16,0.1972222222,47,57,334
223,TEMPTATION,Joey Bada$$,42832,105,71,78,-5,78,0.1694444444,40,65,2361
224,FOR MY PEOPLE,Joey Bada$$,42832,101,70,67,-7,19,0.1618055556,11,56,1681
225,Pink Beetle,Rejjie Snow,42662,150,78,48,-7,19,0.1638888889,49,28,1970
226,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,42177,82,58,79,-8,76,0.1298611111,56,2,1968
227,Rhymes Like Dimes,MF DOOM,40659,100,75,64,-6,76,0.1798611111,66,53,2068
228,Alla luce del giorno,Ennio Morricone,38748,135,58,72,-13,90,0.1291666667,5,29,4424
229,A Horse with No Name,America,1972,123,51,65,-17,83,0.175,69,74,4650
230,Youth,Glass Animals,42608,96,72,65,-8,79,0.1604166667,13,64,5728
231,Superstition - Single Version,Stevie Wonder,35065,101,66,65,-11,88,0.1659722222,9,2,3461
232,Magnolia,Playboi Carti,42839,163,58,79,-7,44,0.1263888889,1,74,834
233,Life Itself,Glass Animals,42608,112,67,70,-6,56,0.1951388889,1,61,2842
234,Make You Mine,Breakbot,40224,95,56,83,-8,80,0.1409722222,2,47,9518
235,Pools,Glass Animals,41793,105,65,68,-9,23,0.2006944444,15,52,9855
236,Instant Need,FKJ,41463,91,49,77,-8,57,0.1875,21,58,7613
237,Home,Edward Sharpe & The Magnetic Zeros,40008,112,59,54,-7,14,0.2104166667,29,71,7229
238,First,Cold War Kids,41933,78,69,47,-4,56,0.1388888889,2,34,1751
239,Easy Easy,King Krule,41510,147,41,56,-9,23,0.1180555556,84,48,3699
240,Good Life,Kanye West,39083,84,80,44,-7,45,0.14375,0,30,9773
241,All Falls Down,Kanye West,38030,91,72,64,-5,46,0.1555555556,18,32,9138
242,Black Skinhead,Kanye West,41275,130,82,78,-6,27,0.1305555556,0,72,5757
243,Chanel,Frank Ocean,42804,110,50,78,-6,47,0.1458333333,87,73,8355
244,Just The Two Of Us,"Grover Washington, Jr.",38718,96,33,79,-15,61,0.1652777778,42,52,1083
245,Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,42384,115,80,73,-7,53,0.1763888889,6,58,3672
246,Come Down,Anderson .Paak,42384,98,91,82,-6,92,0.1229166667,33,62,9007
247,Ivy,Frank Ocean,42602,116,39,57,-10,45,0.1729166667,78,73,5429
248,Pink + White,Frank Ocean,42602,160,55,54,-7,55,0.1284722222,67,74,5322
249,Baby I'm Yours,Breakbot Feat. Irfane,40224,118,79,83,-4,74,0.15,71,57,5499
250,Redbone,Childish Gambino,42706,160,36,75,-10,61,0.2270833333,17,29,9189
251,Eh,Death Grips,42496,152,89,72,-7,65,0.1201388889,14,42,4942
252,We The People....,A Tribe Called Quest,42685,93,81,71,-5,90,0.1194444444,1,55,4964
253,Enough!!,A Tribe Called Quest,42685,77,57,68,-7,24,0.1395833333,25,46,61
254,The Moment,Tame Impala,42202,119,83,55,-6,45,0.1770833333,0,65,4140
255,The Less I Know The Better,Tame Impala,42202,117,74,64,-4,79,0.15,1,81,6551
256,Immortal,J. Cole,42713,92,42,71,-11,25,0.1402777778,44,64,489
257,Deja Vu,J. Cole,42713,174,41,65,-11,19,0.1840277778,36,68,3143
258,Ville Mentality,J. Cole,42713,120,38,86,-8,63,0.1347222222,79,61,8704
259,Change,J. Cole,42713,107,52,58,-11,24,0.2298611111,64,63,3274
260,Neighbors,J. Cole,42713,139,28,89,-13,41,0.1506944444,36,71,3372
261,Foldin Clothes,J. Cole,42713,162,50,71,-10,60,0.2201388889,22,58,6502
262,She's Mine Pt. 2,J. Cole,42713,70,20,51,-15,5,0.19375,78,57,1753
263,4 Your Eyez Only,J. Cole,42713,79,48,70,-10,49,0.3680555556,38,62,8967
264,Front & Center,Joey Bada$$,42664,106,66,63,-8,55,0.1270833333,1,51,9220
265,Devastated,Joey Bada$$,42517,123,48,84,-9,58,0.1444444444,12,2,7379
266,Paper Trail$,Joey Bada$$,42024,94,83,55,-4,45,0.1354166667,34,55,5147
267,Congratulations (feat. Bilal),Mac Miller,42629,58,23,47,-13,21,0.1777777778,95,56,6509
268,Dang! (feat. Anderson .Paak),Mac Miller,42629,107,67,84,-7,56,0.2118055556,1,71,3606
269,Stay,Mac Miller,42629,134,56,74,-7,55,0.2263888889,57,63,231
270,Skin,Mac Miller,42629,120,59,61,-7,48,0.2,53,58,4027
271,Cinderella (feat. Ty Dolla $ign),Mac Miller,42629,140,53,55,-7,24,0.3333333333,24,64,4848
272,Planet God Damn (feat. Njomza),Mac Miller,42629,173,49,64,-13,43,0.1333333333,63,53,325
273,Soulmate,Mac Miller,42629,111,53,61,-7,56,0.1895833333,13,55,4376
274,We (feat. CeeLo Green),Mac Miller,42629,139,64,64,-9,60,0.2215277778,79,56,1318
275,My Favorite Part,Mac Miller,42629,95,33,86,-7,72,0.15,63,70,1813
276,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,42629,96,41,47,-12,14,0.3479166667,33,60,9666
277,See You Leave,RJD2,41555,82,61,77,-6,50,0.2076388889,4,49,401
278,Miss Primetime (feat. Pell),Big Gigantic,42608,137,93,59,-1,59,0.1493055556,0,49,2969
279,"Harder, Better, Faster, Stronger",Daft Punk,36957,123,72,82,-9,69,0.15625,4,68,6601
280,Crescendolls,Daft Punk,36957,124,75,70,-9,94,0.1472222222,0,52,2963
281,Nightvision,Daft Punk,36957,120,19,49,-30,46,0.07222222222,85,50,152
282,Superheroes,Daft Punk,36957,141,74,62,-8,68,0.1652777778,0,51,4814
283,High Life,Daft Punk,36957,125,87,65,-9,52,0.1402777778,0,50,3608
284,Something About Us,Daft Punk,36957,100,48,88,-13,38,0.1618055556,44,66,6143
285,Voyager,Daft Punk,36957,120,74,67,-11,28,0.1583333333,28,58,888
286,Veridis Quo,Daft Punk,36957,107,69,60,-14,12,0.2395833333,48,59,4579
287,Short Circuit,Daft Punk,36957,110,56,54,-11,22,0.14375,0,48,9717
288,Face to Face,Daft Punk,36957,118,44,87,-10,96,0.1666666667,0,57,4845
289,Too Long,Daft Punk,36957,127,58,69,-10,51,0.4166666667,0,49,4373
290,Scarface,Freddie Gibbs,41716,89,82,58,-6,63,0.08819444444,2,46,5800
291,Deeper,Freddie Gibbs,41716,180,79,39,-8,72,0.1381944444,26,49,1031
292,Broken (feat. Scarface),Freddie Gibbs,41716,85,63,60,-10,49,0.1722222222,53,44,366
